channel_name,subscribers,category,views_counts,video_count,started_year,rank
"
T-Series
    ","252,000,000",Music,"237,488,717,837",Music,2006,1
"
SET India
    ","164,000,000",Shows,"153,562,562,482",Shows,2006,2
"
Sony SAB
    ","86,700,000",Shows,"106,373,500,472",Shows,2007,3
"
Colors TV
    ","68,200,000",Shows,"65,471,430,109",Shows,2008,4
"
Zee Music Company
    ","102,000,000",Music,"61,556,002,571",Music,2014,5
"
ChuChu TV Nursery Rhymes & Kids Songs
    ","68,500,000",Education,"48,012,185,336",Education,2013,6
"
Wave Music
    ","59,500,000",Music,"41,342,735,314",Music,2014,7
"
YRF
    ","56,800,000",Film & Animation,"37,545,079,015",Film & Animation,2006,8
"
Tips Official
    ","62,000,000",Music,"35,324,377,300",Music,2007,9
"
Vijay Television
    ","21,800,000",Entertainment,"33,261,234,887",Entertainment,2007,10
"
Infobells - Hindi
    ","56,900,000",Education,"32,804,274,867",Education,2014,11
"
T-Series Bhakti Sagar
    ","64,100,000",Music,"31,453,062,173",Music,2011,12
"
Sony Music India
    ","58,400,000",Music,"29,919,897,899",Music,2009,13
"
Speed Records
    ","43,000,000",Music,"27,487,097,366",Music,2012,14
"
Aaj Tak
    ","59,700,000",News & Politics,"27,056,790,361",News & Politics,2009,15
"
Aditya Music India
    ","29,200,000",Music,"26,967,421,316",Music,2008,16
"
Goldmines
    ","91,600,000",Film & Animation,"26,313,512,673",Film & Animation,2012,17
"
KL BRO Biju Rithvik
    ","33,900,000",Entertainment,"26,055,972,847",Entertainment,2020,18
"
Sun TV
    ","25,200,000",People & Blogs,"24,802,399,903",People & Blogs,2016,19
"
T-Series Bollywood Classics
    ","37,300,000",Music,"24,001,998,548",Music,2012,20
"
etvteluguindia
    ","19,900,000",Entertainment,"23,957,284,940",Entertainment,2010,21
"
Shemaroo
    ","49,800,000",Entertainment,"23,389,753,677",Entertainment,2007,22
"
Shorts Break
    ","32,600,000",Comedy,"22,128,396,564",Comedy,2021,23
"
T-Series Apna Punjab
    ","35,300,000",Music,"22,118,434,190",Music,2011,24
"
Dushyant kukreja
    ","33,800,000",Entertainment,"20,569,250,056",Entertainment,2015,25
"
ZEE5
    ","14,700,000",Entertainment,"19,052,524,551",Entertainment,2018,26
"
Zee News
    ","32,900,000",News & Politics,"18,895,759,663",News & Politics,2007,27
"
infobells - Tamil
    ","30,100,000",Education,"18,636,898,237",Education,2014,28
"
Mazhavil Manorama
    ","16,700,000",Entertainment,"17,910,342,953",Entertainment,2011,29
"
Goldmines Gaane Sune Ansune
    ","39,700,000",Music,"17,582,904,246",Music,2015,30
"
IndiaTV
    ","37,300,000",News & Politics,"17,443,383,075",News & Politics,2006,31
"
WowKidz
    ","33,500,000",Film & Animation,"17,369,611,464",Film & Animation,2015,32
"
Worldwide Records Bhojpuri
    ","32,700,000",Music,"16,983,008,674",Music,2012,33
"
Jkk Entertainment
    ","37,400,000",Comedy,"16,588,028,826",Comedy,2017,34
"
Tarang TV
    ","8,170,000",Entertainment,"16,469,272,283",Entertainment,2012,35
"
Dangal TV Channel
    ","24,900,000",Entertainment,"16,098,138,242",Entertainment,2017,36
