channel_name,subscribers,category,views_counts,video_count,started_year,revenue
YRF,56800000,Film & Animation,37545079015,3843,2006,938626975.0
Tips Official,62000000,Music,35324377300,5093,2007,883109432.0
Vijay Television,21800000,Entertainment,33261234887,57945,2007,831530872.0
Infobells  Hindi,56900000,Education,32804274867,608,2014,820106872.0
TSeries Bhakti Sagar,64100000,Music,31453062173,26707,2011,786326554.0
Sony Music India,58400000,Music,29919897899,4132,2009,747997447.0
Speed Records,43000000,Music,27487097366,11104,2012,687177434.0
Aaj Tak,59700000,News & Politics,27056790361,312396,2009,676419759.0
Aditya Music India,29200000,Music,26967421316,22027,2008,674185533.0
Goldmines,91600000,Film & Animation,26313512673,7098,2012,657837817.0
KL BRO Biju Rithvik,33900000,Entertainment,26055972847,2082,2020,651399321.0
Sun TV,25200000,People & Blogs,24802399903,71475,2016,620059998.0
TSeries Bollywood Classics,37300000,Music,24001998548,2029,2012,600049964.0
etvteluguindia,19900000,Entertainment,23957284940,131205,2010,598932124.0
Shemaroo,49800000,Entertainment,23389753677,11298,2007,584743842.0
Shorts Break,32600000,Comedy,22128396564,518,2021,553209914.0
TSeries Apna Punjab,35300000,Music,22118434190,7940,2011,552960855.0
Dushyant kukreja,33800000,Entertainment,20569250056,988,2015,514231251.0
ZEE5,14700000,Entertainment,19052524551,106692,2018,476313114.0
Zee News,32900000,News & Politics,18895759663,194327,2007,472393992.0
infobells  Tamil,30100000,Education,18636898237,587,2014,465922456.0
Mazhavil Manorama,16700000,Entertainment,17910342953,94859,2011,447758574.0
Goldmines Gaane Sune Ansune,39700000,Music,17582904246,3628,2015,439572606.0
IndiaTV,37300000,News & Politics,17443383075,286073,2006,436084577.0
WowKidz,33500000,Film & Animation,17369611464,5204,2015,434240287.0
Worldwide Records Bhojpuri,32700000,Music,16983008674,6720,2012,424575217.0
Jkk Entertainment,37400000,Comedy,16588028826,225,2017,414700721.0
Tarang TV,8170000,Entertainment,16469272283,53345,2012,411731807.0
Dangal TV Channel,24900000,Entertainment,16098138242,23773,2017,402453456.0
Ultra Bollywood,37600000,Trailers,15971421110,9458,2009,399285528.0
Asianet,9830000,Entertainment,15905253732,121758,2008,397631343.0
infobells  Telugu,30000000,Education,15790890407,537,2014,394772260.0
Rajshri,34500000,Music,15644554687,4027,2006,391113867.0
Ishaan Ali 11,25600000,People & Blogs,15069538913,1065,2016,376738473.0
Gulshan Kalra,30600000,Howto & Style,14160344464,573,2018,354008612.0
ABP NEWS,38700000,People & Blogs,14126308378,328909,2012,353157709.0
Priyal Kukreja,24500000,People & Blogs,14069915253,873,2021,351747881.0
ETV Jabardasth,14300000,People & Blogs,14013713800,10440,2015,350342845.0
BehindwoodsTV,13600000,Entertainment,13444438727,59458,2010,336110968.0
LittleGlove,13400000,People & Blogs,13223574473,1784,2020,330589362.0
Kashvi Adlakha,16000000,Entertainment,13085844834,1634,2017,327146121.0
Geet MP3,34600000,Music,13078727096,684,2016,326968177.0
Taarak Mehta Ka Ooltah Chashmah,18800000,Entertainment,12830209316,5883,2014,320755233.0
Lahari Music  TSeries,17200000,Music,12311500277,9037,2011,307787507.0
LIV Crime,23100000,People & Blogs,12291035723,11565,2020,307275893.0
Flowers Comedy,12900000,Entertainment,12270015856,12588,2015,306750396.0
Neetu Bisht,17900000,Entertainment,12148108888,1558,2011,303702722.0
Apu Alone,9960000,Comedy,12014277805,3614,2021,300356945.0
TV9 Bharatvarsh,17100000,People & Blogs,11951659305,325082,2018,298791483.0
SEVENGERS,15500000,Comedy,11526406465,971,2018,288160162.0
KHANDESHI MOVIES,33500000,Comedy,11517757950,224,2013,287943949.0
Bobby chourasiya,22000000,People & Blogs,11485856251,477,2019,287146406.0
Azhan5star,25700000,Entertainment,11406385348,738,2021,285159634.0
The Lallantop,26400000,News & Politics,11342909138,54913,2015,283572728.0
White Hill Music,23300000,Entertainment,11296470625,6333,2014,282411766.0
Polimer News,9380000,News & Politics,11098680852,211944,2014,277467021.0
Aditya Movies,30200000,Movies,11076913864,6025,2012,276922847.0
Sony Music South,16200000,Music,11069189536,2988,2014,276729738.0
Family Fitness,13000000,Entertainment,10754023710,1841,2017,268850593.0
Tilak,26300000,Film & Animation,10662056366,8025,2020,266551409.0
Heroindori,27800000,Comedy,10577441018,524,2020,264436025.0
Cheri's World,16300000,People & Blogs,10564326702,949,2014,264108168.0
The Vishal bhatt,15600000,Comedy,10543932399,1151,2021,263598310.0
Techno Gamerz,36600000,Gaming,10503671551,990,2017,262591789.0
Sourav Joshi Vlogs,23200000,People & Blogs,10473783448,1498,2019,261844586.0
unknown boy varun,25700000,Music,10354875277,532,2016,258871882.0
Desi Music Factory,33700000,Music,10336187494,130,2014,258404687.0
ABP MAJHA,11700000,News & Politics,10306836877,338523,2014,257670922.0
spider_man,14400000,,10223804693,1497,2022,255595117.0
Sun Bangla,9360000,Entertainment,10211634697,23969,2018,255290867.0
V6 News Telugu,9510000,News & Politics,10188775411,276117,2013,254719385.0
Thanthi TV,8990000,News & Politics,10120141082,335818,2012,253003527.0
Volga Video,16000000,Film & Animation,9921470988,16931,2012,248036775.0
TV9 Telugu Live,10800000,Entertainment,9881220410,292728,2011,247030510.0
SriBalajiMovies,17200000,Entertainment,9879966962,21720,2011,246999174.0
A2 Motivation by Arvind Arora,16100000,Entertainment,9802656350,3495,2017,245066409.0
Green Gold TV  Official Channel,20300000,Film & Animation,9778900755,1645,2011,244472519.0
Prime Video India,18900000,Entertainment,9697097382,8214,2016,242427435.0
Aayu and Pihu Show,17100000,Comedy,9658257426,468,2017,241456436.0
Manorama News,8360000,News & Politics,9592499313,442429,2014,239812483.0
Republic Bharat,18600000,News & Politics,9578413074,113547,2019,239460327.0
The geeta gurjar,15500000,,9478474198,916,2021,236961855.0
Akshay Nagwadiya,28400000,Entertainment,9472946586,702,2017,236823665.0
Goldmines Bollywood,27800000,Film & Animation,9139345654,3976,2015,228483641.0
Goldmines Dishoom,29300000,Film & Animation,9122917712,4220,2016,228072943.0
THE BROWN SIBLINGS,15600000,Entertainment,9024175039,1090,2016,225604376.0
Pop Chartbusters,17400000,Music,9018407389,2253,2011,225460185.0
VENDY YADUWANSHI,12800000,Entertainment,8991011347,920,2020,224775284.0
STAR à¤­à¤¾à¤°à¤¤,12500000,People & Blogs,8970779133,18133,2007,224269478.0
News 24,18200000,News & Politics,8962817801,247739,2014,224070445.0
jaanvi patel,20300000,People & Blogs,8895933993,537,2018,222398350.0
Wow Kidz Action,20100000,Film & Animation,8768688605,1998,2017,219217215.0
Vijay Kumar Viner Vlogs,16100000,Entertainment,8766497143,1565,2019,219162429.0
RS 1313 SHORTS,15300000,Entertainment,8733947418,6007,2020,218348685.0
Right to Shiksha,13800000,Education,8665159179,2282,2020,216628979.0
Harpreet SDC,11500000,Entertainment,8585499858,2361,2019,214637496.0
prashu__baby,9360000,Entertainment,8582905814,933,2011,214572645.0
Infobells Bangla,16900000,Education,8546803602,389,2016,213670090.0
ABPLIVE,26200000,People & Blogs,8543866172,194743,2017,213596654.0
Netflix India,22600000,People & Blogs,8442880628,3903,2016,211072016.0
deepesh zo,19900000,People & Blogs,8325886723,674,2021,208147168.0
Raj Grover,10900000,Entertainment,8287682418,538,2021,207192060.0
Busy Fun Ltd,19600000,,8258917681,220,2019,206472942.0
Shemaroo Movies,29900000,Entertainment,8218556187,3146,2011,205463905.0
Sony LIV,16700000,Entertainment,8169728974,13529,2014,204243224.0
Crazy XYZ,28400000,Entertainment,8143307355,1294,2017,203582684.0
Saregama TV Shows Tamil,7430000,People & Blogs,8109151098,21157,2018,202728777.0
Anand Audio,11100000,Music,8094050544,5182,2011,202351264.0
Fun For Kids TV  Hindi Rhymes,18300000,Entertainment,8090223661,172,2017,202255592.0
Pari's Lifestyle,12600000,People & Blogs,7942249601,490,2018,198556240.0
Zee Kids,13000000,Film & Animation,7928542223,1231,2012,198213556.0
NTV Telugu,7760000,News & Politics,7899175161,310214,2014,197479379.0
Sonotek,19400000,Entertainment,7718244709,8318,2011,192956118.0
NMF News,17000000,News & Politics,7683956203,117548,2013,192098905.0
ETV Dhee,10500000,People & Blogs,7661079943,4625,2017,191526999.0
Kiddiestv Hindi  Nursery Rhymes & Kids Songs,21000000,Education,7590088688,235,2017,189752217.0
Anupam Movie Songs,11500000,Music,7530071970,3081,2018,188251799.0
Paayal Tena Short Videos,10500000,People & Blogs,7470192906,926,2021,186754823.0
mallemalatv,8490000,Entertainment,7424298434,12642,2014,185607461.0
CHANDAN ART ACADEMY,9810000,Education,7264632321,1821,2016,181615808.0
VikatanTV,7300000,Shows,7238036484,21172,2011,180950912.0
TeluguOne,9820000,Comedy,7221011069,48320,2006,180525277.0
123 GO! Hindi,10700000,Entertainment,7076750965,573,2019,176918774.0
LIV Comedy,11600000,Entertainment,7048287601,11605,2020,176207190.0
Pen Movies,25300000,Film & Animation,7024975489,1669,2014,175624387.0
Ruh,12400000,People & Blogs,7003489389,1123,2021,175087235.0
infobells  Kannada,14900000,Education,6988612034,465,2014,174715301.0
sagar kalra (Shorts),17200000,People & Blogs,6920890934,481,2017,173022273.0
SVF,11700000,Music,6883757819,3436,2006,172093945.0
Kids TV India Hindi Nursery Rhymes,14200000,Shows,6877700508,1646,2014,171942513.0
NDTV India,15400000,News & Politics,6827577879,100848,2008,170689447.0
Mukesh jaiswal,10800000,People & Blogs,6731242307,1184,2017,168281058.0
Sangeeth Kumar,10400000,People & Blogs,6700823417,789,2021,167520585.0
Akash Parihar,9400000,People & Blogs,6639170575,646,2021,165979264.0
Bihari Ladka,11300000,Gaming,6636019514,585,2017,165900488.0
SagaHits,12000000,Music,6586335903,3037,2010,164658398.0
Voot,8740000,People & Blogs,6562923597,25040,2016,164073090.0
SRK MUSIC,15600000,Music,6559926146,5139,2012,163998154.0
Samayra Narula Official,11100000,People & Blogs,6528941665,1113,2020,163223542.0
Noman Official,18300000,Comedy,6505297178,671,2019,162632429.0
MY FAMILY,16300000,,6469402962,296,2019,161735074.0
Vikram Singh Fitness,6920000,Sports,6458308970,9291,2018,161457724.0
Village Cooking Channel,22900000,Howto & Style,6430499374,219,2018,160762484.0
Enterr10 Rangeela,12800000,Entertainment,6388676773,5057,2017,159716919.0
Paytm,571000,People & Blogs,6377423330,698,2013,159435583.0
Nirahua Music World,12400000,Music,6376236538,819,2014,159405913.0
Artist Shikha Sharma,9570000,Entertainment,6339597151,1552,2019,158489929.0
Zee 24 Taas,8030000,News & Politics,6332597345,321874,2010,158314934.0
asianetnews,8410000,News & Politics,6291104809,237083,2008,157277620.0
Mor Haryanvi,12200000,Music,6290297552,414,2015,157257439.0
